minimum_destruction_percentage,0_stars,1_star,2_stars,3_stars
0,0,--,--,--
1,--,5,--,--
10,1,6,--,--
19,1,7,--,--
20,2,7,--,--
28,2,8,--,--
30,3,8,--,--
37,3,9,--,--
40,4,9,--,--
46,4,10,--,--
50,--,10,16,--
53,--,10,17,--
55,--,11,18,--
56,--,11,18,--
59,--,11,19,--
62,--,11,20,--
64,--,12,20,--
65,--,12,21,--
68,--,12,22,--
71,--,12,23,--
73,--,13,23,--
74,--,13,24,--
77,--,13,25,--
80,--,13,26,--
82,--,14,26,--
83,--,14,27,--
86,--,14,28,--
89,--,14,29,--
91,--,15,29,--
92,--,15,30,--
95,--,15,31,--
98,--,15,32,--
100,--,--,--,40
